file_id,position_cm,height_rel,prominence_rel,fwhm_cm,left_cm,right_cm,intensity_class,shape_class
0020152b-16a6-4cf2-839e-89638ae8de40,688.0,0.1096,0.0236,4.5,685.8,690.4,weak,sharp
0020152b-16a6-4cf2-839e-89638ae8de40,704.0,0.1919,0.1054,6.7,700.0,706.7,weak,sharp
0020152b-16a6-4cf2-839e-89638ae8de40,730.0,0.175,0.016,6.3,727.3,733.6,weak,sharp
0020152b-16a6-4cf2-839e-89638ae8de40,768.0,0.4781,0.4781,15.9,756.9,772.8,medium,sharp
0020152b-16a6-4cf2-839e-89638ae8de40,786.0,0.1736,0.0365,8.6,779.0,787.6,weak,sharp
0020152b-16a6-4cf2-839e-89638ae8de40,804.0,0.2387,0.1697,9.2,799.8,809.0,medium,sharp
0020152b-16a6-4cf2-839e-89638ae8de40,822.0,0.0653,0.0113,4.6,818.5,823.1,weak,sharp
0020152b-16a6-4cf2-839e-89638ae8de40,878.0,0.1689,0.0894,7.0,874.2,881.2,weak,sharp
0020152b-16a6-4cf2-839e-89638ae8de40,900.0,0.1699,0.1238,10.3,893.8,904.0,weak,sharp
0020152b-16a6-4cf2-839e-89638ae8de40,926.0,0.0794,0.0111,6.2,922.2,928.4,weak,sharp
0020152b-16a6-4cf2-839e-89638ae8de40,990.0,0.3307,0.2991,14.8,980.8,995.6,medium,sharp
0020152b-16a6-4cf2-839e-89638ae8de40,1016.0,0.2251,0.1505,8.7,1012.1,1020.9,medium,sharp
0020152b-16a6-4cf2-839e-89638ae8de40,1056.0,0.2314,0.0127,2.8,1054.8,1057.6,medium,sharp
0020152b-16a6-4cf2-839e-89638ae8de40,1068.0,0.3073,0.2682,20.5,1050.9,1071.5,medium,sharp
0020152b-16a6-4cf2-839e-89638ae8de40,1134.0,0.2367,0.2238,14.4,1124.3,1138.7,medium,sharp
0020152b-16a6-4cf2-839e-89638ae8de40,1172.0,0.1812,0.1405,12.7,1165.2,1177.9,weak,sharp
0020152b-16a6-4cf2-839e-89638ae8de40,1204.0,0.2116,0.194,10.3,1198.3,1208.6,medium,sharp
0020152b-16a6-4cf2-839e-89638ae8de40,1242.0,0.118,0.0238,6.5,1239.4,1245.8,weak,sharp
0020152b-16a6-4cf2-839e-89638ae8de40,1266.0,0.2098,0.1319,9.8,1259.5,1269.2,medium,sharp
0020152b-16a6-4cf2-839e-89638ae8de40,1292.0,0.1421,0.0629,7.9,1287.7,1295.6,weak,sharp
0020152b-16a6-4cf2-839e-89638ae8de40,1326.0,0.1871,0.0972,10.1,1320.5,1330.6,weak,sharp
0020152b-16a6-4cf2-839e-89638ae8de40,1362.0,0.3071,0.3071,16.0,1351.9,1367.9,medium,sharp
0020152b-16a6-4cf2-839e-89638ae8de40,1376.0,0.1128,0.035,3.6,1374.1,1377.7,weak,sharp
0020152b-16a6-4cf2-839e-89638ae8de40,1392.0,0.0885,0.048,6.8,1388.9,1395.7,weak,sharp
0020152b-16a6-4cf2-839e-89638ae8de40,1428.0,0.2516,0.2416,30.2,1417.2,1447.3,medium,broad
0020152b-16a6-4cf2-839e-89638ae8de40,1462.0,0.216,0.1281,8.6,1456.8,1465.4,medium,sharp
0020152b-16a6-4cf2-839e-89638ae8de40,1486.0,0.1948,0.1057,10.3,1480.7,1491.0,weak,sharp
0020152b-16a6-4cf2-839e-89638ae8de40,1538.0,0.2065,0.1516,9.7,1531.3,1541.1,medium,sharp
0020152b-16a6-4cf2-839e-89638ae8de40,1570.0,0.0972,0.0403,15.5,1558.7,1574.3,weak,sharp
0020152b-16a6-4cf2-839e-89638ae8de40,1608.0,0.1039,0.0115,7.7,1603.6,1611.2,weak,sharp
0020152b-16a6-4cf2-839e-89638ae8de40,1736.0,0.2459,0.0119,6.7,1732.8,1739.5,medium,sharp
0020152b-16a6-4cf2-839e-89638ae8de40,1924.0,1.0,1.0,92.6,1849.1,1941.7,strong,broad
0020152b-16a6-4cf2-839e-89638ae8de40,2024.0,0.6888,0.6248,29.3,2003.6,2032.9,strong,sharp
0020152b-16a6-4cf2-839e-89638ae8de40,2162.0,0.0683,0.0165,11.8,2159.1,2170.9,weak,sharp
0020152b-16a6-4cf2-839e-89638ae8de40,2400.0,0.1206,0.045,201.5,2281.0,2482.5,weak,very_broad
0020152b-16a6-4cf2-839e-89638ae8de40,2854.0,0.1677,0.0627,17.4,2844.8,2862.2,weak,sharp
0020152b-16a6-4cf2-839e-89638ae8de40,2932.0,0.1844,0.1844,144.7,2828.2,2972.9,weak,very_broad
0020152b-16a6-4cf2-839e-89638ae8de40,2968.0,0.1159,0.0126,5.5,2965.1,2970.6,weak,sharp
0020152b-16a6-4cf2-839e-89638ae8de40,3056.0,0.0397,0.0164,12.9,3048.6,3061.6,weak,sharp
