file_id,position_cm,height_rel,prominence_rel,fwhm_cm,left_cm,right_cm,intensity_class,shape_class
C100005_1,672.0,0.2198,0.2198,8.5,667.4,675.9,medium,sharp
C100005_1,740.0,0.7705,0.7612,8.2,735.2,743.3,strong,sharp
C100005_1,792.0,0.0702,0.0448,6.7,789.9,796.6,weak,sharp
C100005_1,842.0,0.9451,0.9451,16.7,837.2,853.8,strong,sharp
C100005_1,950.0,0.0638,0.0574,12.1,944.7,956.8,weak,sharp
C100005_1,1012.0,0.5306,0.529,5.5,1010.4,1016.0,medium,sharp
C100005_1,1098.0,0.8227,0.8227,7.5,1094.3,1101.8,strong,sharp
C100005_1,1112.0,0.5823,0.2692,4.4,1108.8,1113.1,medium,sharp
C100005_1,1172.0,0.1269,0.1254,5.6,1170.0,1175.6,weak,sharp
C100005_1,1214.0,0.0381,0.0318,31.0,1205.4,1236.4,weak,broad
C100005_1,1282.0,0.1546,0.1483,9.3,1275.9,1285.2,weak,sharp
C100005_1,1314.0,0.2179,0.1197,5.4,1310.7,1316.1,medium,sharp
C100005_1,1344.0,1.0,1.0,24.8,1336.6,1361.3,strong,sharp
C100005_1,1354.0,0.9587,0.0244,1.7,1353.0,1354.7,strong,sharp
C100005_1,1390.0,0.1296,0.0202,9.0,1384.0,1393.0,weak,sharp
C100005_1,1426.0,0.1344,0.1065,10.7,1422.7,1433.5,weak,sharp
C100005_1,1484.0,0.5422,0.4707,7.8,1480.2,1488.0,medium,sharp
C100005_1,1534.0,0.9678,0.9527,29.3,1522.3,1551.6,strong,sharp
C100005_1,1590.0,0.6194,0.4254,8.8,1586.1,1594.9,strong,sharp
C100005_1,1614.0,0.6595,0.5259,7.7,1610.5,1618.2,strong,sharp
C100005_1,1672.0,0.057,0.0197,12.8,1663.2,1676.0,weak,sharp
C100005_1,1780.0,0.0195,0.0195,14.6,1772.4,1787.1,weak,sharp
C100005_1,1904.0,0.0443,0.041,16.0,1897.4,1913.3,weak,sharp
C100005_1,2442.0,0.0243,0.0187,27.0,2427.8,2454.8,weak,sharp
C100005_1,2868.0,0.0433,0.0323,42.9,2854.2,2897.1,weak,broad
C100005_1,3110.0,0.0718,0.0718,48.6,3084.6,3133.2,weak,broad
C100027_2,692.0,0.2115,0.1576,8.1,688.0,696.2,medium,sharp
C100027_2,756.0,0.4542,0.4467,6.0,752.8,758.8,medium,sharp
C100027_2,820.0,0.1441,0.0986,4.8,816.4,821.3,weak,sharp
C100027_2,826.0,0.1044,0.0386,3.6,824.6,828.3,weak,sharp
C100027_2,850.0,0.7894,0.7894,5.5,847.5,853.0,strong,sharp
C100027_2,866.0,0.3547,0.2149,4.6,862.4,867.0,medium,sharp
C100027_2,960.0,0.1209,0.0815,5.4,956.4,961.8,weak,sharp
C100027_2,1010.0,0.1413,0.0863,6.5,1005.4,1012.0,weak,sharp
C100027_2,1118.0,0.8642,0.833,14.8,1105.2,1120.0,strong,sharp
C100027_2,1172.0,0.6756,0.5815,10.7,1164.7,1175.4,strong,sharp
C100027_2,1224.0,0.8854,0.6367,15.6,1214.4,1230.0,strong,sharp
C100027_2,1290.0,0.944,0.7809,22.5,1273.3,1295.8,strong,sharp
C100027_2,1334.0,1.0,1.0,42.4,1314.9,1357.3,strong,broad
C100027_2,1352.0,0.9123,0.074,3.9,1348.7,1352.5,strong,sharp
C100027_2,1386.0,0.1901,0.0446,6.6,1380.4,1387.1,weak,sharp
C100027_2,1476.0,0.399,0.0172,7.2,1471.6,1478.8,medium,sharp
C100027_2,1508.0,0.9308,0.9308,32.3,1489.9,1522.2,strong,broad
C100027_2,1608.0,0.8796,0.8314,12.9,1600.3,1613.2,strong,sharp
C100027_2,1628.0,0.4741,0.2277,5.6,1624.5,1630.1,medium,sharp
C100027_2,1684.0,0.013,0.013,17.0,1673.3,1690.3,weak,sharp
C100027_2,1780.0,0.0156,0.0126,14.7,1774.9,1789.7,weak,sharp
C100027_2,1916.0,0.0533,0.0334,14.0,1909.7,1923.7,weak,sharp
C100027_2,2424.0,0.0696,0.0696,137.8,2309.0,2446.8,weak,very_broad
C100027_2,2666.0,0.0174,0.0141,81.9,2651.6,2733.5,weak,broad
C100027_2,2874.0,0.5729,0.0209,16.1,2866.3,2882.4,medium,sharp
C100027_2,2950.0,0.7384,0.7384,148.8,2846.0,2994.8,strong,very_broad
C100027_2,3294.0,0.5436,0.3924,132.5,3221.8,3354.3,medium,very_broad
C1000493_0,686.0,0.1227,0.0941,13.7,680.5,694.2,weak,sharp
C1000493_0,724.0,0.0649,0.0163,6.1,722.8,728.9,weak,sharp
C1000493_0,750.0,0.0801,0.0503,18.6,739.5,758.1,weak,sharp
C1000493_0,828.0,0.467,0.467,16.9,819.6,836.5,medium,sharp
C1000493_0,856.0,0.4294,0.2148,12.2,849.8,861.9,medium,sharp
C1000493_0,876.0,0.1997,0.0173,7.2,871.2,878.4,weak,sharp
C1000493_0,960.0,0.0231,0.0231,7.9,955.7,963.6,weak,sharp
C1000493_0,998.0,0.0176,0.0145,31.0,992.3,1023.2,weak,broad
C1000493_0,1074.0,0.0327,0.0327,11.5,1068.9,1080.4,weak,sharp
C1000493_0,1186.0,0.0345,0.0227,24.3,1167.0,1191.3,weak,sharp
C1000493_0,1240.0,0.4838,0.4838,8.8,1237.9,1246.6,medium,sharp
C1000493_0,1288.0,0.0371,0.0109,20.0,1279.8,1299.7,weak,sharp
C1000493_0,1340.0,0.0756,0.0293,8.1,1334.7,1342.8,weak,sharp
