dataset,rule_id,group,lr_pos,lr_full,sens_pos,sens_full,spec_pos,spec_full,clause
Chemotion,SMITH-BR6-KET-SAT-CO,ketone_saturated,2.95,5.89,0.659,0.585,0.777,0.901,strong
Chemotion,SMITH-BR6-KET-AR-CO,ketone_aromatic,1.45,2.51,0.723,0.535,0.502,0.787,strong
Chemotion,SMITH-BR6-KET-SAT-CCC,ketone_saturated,0.98,0.84,0.976,0.415,0.008,0.506,strong
Chemotion,SMITH-BR6-KET-AR-CCC,ketone_aromatic,1.03,1.51,0.937,0.447,0.09,0.704,strong
Chemotion,SMITH-BR6-ACID-SAT-CO,carboxylic_acid_saturated,1.59,1.32,0.5,0.2,0.685,0.848,strong
Chemotion,SMITH-BR6-ACID-AR-CO,carboxylic_acid_aromatic,2.41,4.76,0.69,0.621,0.714,0.87,strong
Chemotion,SMITH-BR6-ACID-OH-STR,carboxylic_acids,1.0,1.97,1.0,0.104,0.015,0.947,strong
Chemotion,SMITH-BR7-EST-SAT-CO,ester_saturated,2.89,43.25,0.5,0.398,0.827,0.991,strong
Chemotion,SMITH-BR7-EST-SAT-CCO,ester_saturated,0.86,2.0,0.758,0.508,0.116,0.746,strong
Chemotion,SMITH-BR7-EST-SAT-OCC,ester_saturated,1.03,0.99,0.922,0.281,0.106,0.715,strong
Chemotion,SMITH-BR7-EST-AR-CO,ester_aromatic,2.22,6.13,0.345,0.284,0.845,0.954,strong
Chemotion,SMITH-BR7-EST-AR-CCO,ester_aromatic,1.09,4.41,0.931,0.793,0.149,0.82,strong
Chemotion,SMITH-BR7-EST-AR-OCC,ester_aromatic,1.07,2.5,0.767,0.414,0.282,0.834,strong
Chemotion,SMITH-BR8-AMD-CO,amides,1.91,3.11,0.785,0.471,0.589,0.849,strong
Chemotion,SMITH-BR8-AMD2-NH-IPB,amide_secondary,1.5,3.87,0.939,0.442,0.375,0.886,strong
Chemotion,SMITH-ALD17-AR-CO,aldehyde_aromatic,1.6,1.47,0.359,0.156,0.775,0.894,strong
Chemotion,SMITH-NIT19-AR-CN,nitrile_aromatic,10.09,189.13,0.783,0.058,0.922,1.0,strong
Chemotion,SMITH-NO2-20-ASYM,nitro,1.64,5.29,0.98,0.82,0.403,0.845,strong
Chemotion,SMITH-NO2-20-SYM,nitro,1.14,4.66,1.0,0.72,0.132,0.846,strong
Chemotion,SMITH-NO2-20-SCIS,nitro,1.06,1.58,0.9,0.9,0.15,0.432,medium
NIST,SMITH-BR6-KET-SAT-CO,ketone_saturated,4.45,5.25,0.52,0.387,0.883,0.926,strong
NIST,SMITH-BR6-KET-AR-CO,ketone_aromatic,2.26,2.81,0.712,0.525,0.684,0.813,strong
