file_id,kind,detected,height,position,fwhm,dataset
068d4663-f4f1-40c4-b19c-f66b989effa8,aromatic,True,0.0298,2238.0,25.0,Chemotion
0886a711-4691-43dc-8eef-86569fc48bd0,aromatic,True,0.2173,2230.0,14.1,Chemotion
0b428baf-3fb2-4256-ad56-ab4876d82313,aromatic,True,0.4493,2222.0,12.3,Chemotion
0bf01d15-4c2e-4dd4-ba87-b482a3098fc0,aromatic,True,0.0338,2234.0,8.8,Chemotion
0e894264-ea84-4b72-be18-aedd2b2b48d8,aromatic,True,0.2905,2224.0,14.8,Chemotion
0f3f52a6-cc92-4411-b9da-65e011abdd47,aromatic,False,0.0,,,Chemotion
118b94da-a402-42e1-808d-3a3991cd71a1,aromatic,True,0.2736,2240.0,11.1,Chemotion
11ce3a46-449e-4b5c-ba3c-0d738e9e5107,aromatic,True,0.5939,2226.0,8.8,Chemotion
11e4c4b1-722f-42d0-ab79-86f1cd25bebf,aromatic,True,0.5459,2220.0,13.6,Chemotion
18580ddd-fe93-4f77-a317-4882b64c724d,saturated,True,0.127,2248.0,16.4,Chemotion
1bc9296c-d450-4ff1-924b-71f79ffb7164,aromatic,True,0.5175,2228.0,16.6,Chemotion
298cc594-3951-42a9-97d7-5a56dda58888,aromatic,True,0.4803,2220.0,17.7,Chemotion
2cbd3450-a7e8-40f8-ab1e-bfbd587cda1f,aromatic,True,0.3017,2224.0,30.7,Chemotion
2cd65eeb-0c62-4725-8ff7-abcfaf713d01,aromatic,True,0.997,2218.0,18.2,Chemotion
2e651f15-ee5d-4a43-bfcb-efd347574b45,aromatic,True,0.1577,2228.0,11.4,Chemotion
389d63fd-c53f-480f-a109-9945b4bba3e4,aromatic,True,0.0358,2234.0,8.6,Chemotion
3cffb8cd-19bc-4d21-a6a1-ca6282ba735d,aromatic,True,0.1713,2228.0,11.2,Chemotion
3e85fe5d-d5e0-4364-bd46-6d8e16ecd041,aromatic,True,0.3715,2222.0,15.9,Chemotion
40659f98-e939-4f6e-9f43-d08a9aa27328,aromatic,True,0.032,2234.0,24.9,Chemotion
40bcba41-5124-4656-9b6f-09eaa7344f73,aromatic,True,0.0341,2236.0,16.1,Chemotion
42bd8c55-6f8d-4768-a761-95ec3f7e2e2d,aromatic,True,0.0305,2238.0,17.7,Chemotion
4971b7e1-6d6b-49e2-a607-ee0c2399f205,aromatic,True,0.2594,2226.0,27.8,Chemotion
4f7151bd-94ce-4e4a-ba46-c44bffaa743b,aromatic,False,0.0,,,Chemotion
51154dcf-2b0f-4d7d-8a48-9bc66a0735b2,aromatic,True,0.033,2236.0,22.3,Chemotion
518cbe8f-344b-4121-a838-71f9a5b7c25a,aromatic,True,0.0332,2234.0,20.1,Chemotion
59d35d8b-c7cf-4c67-b7ca-ce774f0da3dc,aromatic,True,0.5282,2220.0,15.4,Chemotion
5a21f47c-1c55-4de8-a03a-0c2778de556c,aromatic,True,0.4311,2216.0,11.5,Chemotion
5d330d63-b947-4dd0-b7b8-732bb7b204ee,aromatic,True,0.4975,2220.0,12.2,Chemotion
