file_id,species_id,spectrum_index,file_path,analysis_id,sample_id,title,cas,source,instrument,date,resolution,state_text,phase,prep,sampling,x_units,y_units,n_points,x_min,x_max,smiles_raw,smiles_canonical,inchikey,formula,n_fragments,is_multifragment,elements,unusual_elements,has_unusual_elements,n_heavy_atoms,smiles_valid,fg_alkane,fg_methyl,fg_alkene,fg_alkyne,fg_alcohols,fg_amines,fg_nitriles,fg_aromatics,fg_alkyl_halides,fg_esters,fg_ketones,fg_aldehydes,fg_carboxylic_acids,fg_ether,fg_acyl_halides,fg_amides,fg_nitro,fg_aromatic_mono,fg_aromatic_ortho,fg_aromatic_meta,fg_aromatic_para,fg_methylene,fg_methylene_chain_4,fg_alcohol_primary,fg_alcohol_secondary,fg_alcohol_tertiary,fg_phenol,fg_ether_saturated,fg_ether_mixed,fg_ether_aryl,fg_carbonate_organic,fg_ketone_saturated,fg_ketone_aromatic,fg_aldehyde_saturated,fg_aldehyde_aromatic,fg_carboxylic_acid_saturated,fg_carboxylic_acid_aromatic,fg_ester_saturated,fg_ester_aromatic,fg_amide_primary,fg_amide_secondary,fg_amine_primary,fg_amine_primary_saturated,fg_amine_primary_aromatic,fg_amine_secondary,fg_amine_secondary_saturated,fg_amine_secondary_aromatic,fg_alkene_vinyl,fg_alkene_disubstituted,fg_alkene_trisubstituted,fg_alkyne_terminal,fg_alkyne_internal,fg_nitrile_saturated,fg_nitrile_aromatic,fg_ammonium_primary,fg_ammonium_secondary,fg_ammonium_tertiary,fg_carbonyl_any,fg_c_o_single_any,fg_n_h_any,flag_no_xy_data,flag_bad_x_units,flag_bad_y_units,flag_not_condensed,flag_few_points,flag_range_incomplete,flag_no_structure,qc_pass,is_primary_export
C100005_1,C100005,1,data/raw/nist/jdx/C100005_1.jdx,C100005_1,C100005,P-NITROCHLORO BENZENE,100-00-5,COBLENTZ,"Not specified, most likely a prism, grating, or hybrid spect","Not specified, most likely prior to 1970",4,"SOLUTION (CCl4 FOR 3800-1330, CS2 FOR 1330-625 CM^-^1)",condensed,solution,TRANSMISSION,MICROMETERS,TRANSMITTANCE,2049,626.0721485543994,5000.0,O=[N+]([O-])c1ccc(Cl)cc1,O=[N+]([O-])c1ccc(Cl)cc1,CZGCEKJOLUNIFY-UHFFFAOYSA-N,C6H4ClNO2,1,False,C Cl H N O,,False,10,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
C100016_1,C100016,1,data/raw/nist/jdx/C100016_1.jdx,C100016_1,C100016,4-nitroaniline,100-01-6,COBLENTZ,"Not specified, most likely a prism, grating, or hybrid spect","Not specified, most likely prior to 1970",,,unknown,,,,,0,,,Nc1ccc([N+](=O)[O-])cc1,Nc1ccc([N+](=O)[O-])cc1,TYMLOMAKGOJONV-UHFFFAOYSA-N,C6H6N2O2,1,False,C H N O,,False,10,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,False,False
C100027_1,C100027,1,data/raw/nist/jdx/C100027_1.jdx,C100027_1,C100027,P-NITROPHENOL,100-02-7,COBLENTZ,"Not specified, most likely a prism, grating, or hybrid spect","Not specified, most likely prior to 1970",4,SOLUTION (ETHYL ETHER),condensed,solution,TRANSMISSION,1/CM,TRANSMITTANCE,2714,299.668,659.96,O=[N+]([O-])c1ccc(O)cc1,O=[N+]([O-])c1ccc(O)cc1,BTJIUGUIPKRLHP-UHFFFAOYSA-N,C6H5NO3,1,False,C H N O,,False,10,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
C100027_2,C100027,2,data/raw/nist/jdx/C100027_2.jdx,C100027_2,C100027,"Phenol, p-nitro-,",100-02-7,COBLENTZ,BAIRD (GRATING),"Not specified, most likely prior to 1970",2,SOLID (OIL MULL),condensed,mull,,1/CM,TRANSMITTANCE,3375,626.0,4000.0,O=[N+]([O-])c1ccc(O)cc1,O=[N+]([O-])c1ccc(O)cc1,BTJIUGUIPKRLHP-UHFFFAOYSA-N,C6H5NO3,1,False,C H N O,,False,10,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True
C1000493_0,C1000493,0,data/raw/nist/jdx/C1000493_0.jdx,C1000493_0,C1000493,n-BUTYLTRIMETHYLSILANE,1000-49-3,COBLENTZ,PERKIN-ELMER 521 (GRATING),1965/01/20,2,"SOLUTION (5% IN CCl4 FOR 3800-1310, 2% IN CS2 FOR 1310-630, AND 5% IN CCl4 FOR 630-200 CM^-^1)",condensed,solution,TRANSMISSION,1/CM,TRANSMITTANCE,3868,203.607,3802.91,CCCC[Si](C)(C)C,CCCC[Si](C)(C)C,LYVYUAHSSSHKHC-UHFFFAOYSA-N,C7H18Si,1,False,C H Si,,False,8,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
C1000506_0,C1000506,0,data/raw/nist/jdx/C1000506_0.jdx,C1000506_0,C1000506,n-BUTYL CHLORODIMETHYL SILANE,1000-50-6,COBLENTZ,"Not specified, most likely a prism, grating, or hybrid spect","Not specified, most likely prior to 1970",4,LIQUID,condensed,liquid,TRANSMISSION,MICROMETERS,TRANSMITTANCE,2100,625.2461906875832,4840.271055179091,CCCC[Si](C)(C)Cl,CCCC[Si](C)(C)Cl,MXOSTENCGSDMRE-UHFFFAOYSA-N,C6H15ClSi,1,False,C Cl H Si,,False,8,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
C1000506_1,C1000506,1,data/raw/nist/jdx/C1000506_1.jdx,C1000506_1,C1000506,"Silane, n-butylchlorodimethyl-,",1000-50-6,COBLENTZ,PERKIN-ELMER 521 (GRATING),1966/03/08,2,"SOLUTION (11% CCl4 FOR 3800-1300, 2% CS2 FOR 1300-600, AND 11% CCl4 FOR 600-250)",condensed,solution,,1/CM,TRANSMITTANCE,3579,242.0,3820.0,CCCC[Si](C)(C)Cl,CCCC[Si](C)(C)Cl,MXOSTENCGSDMRE-UHFFFAOYSA-N,C6H15ClSi,1,False,C Cl H Si,,False,8,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
C100057612_0,C100057612,0,data/raw/nist/jdx/C100057612_0.jdx,C100057612_0,C100057612,"Cyclohexanol, 2-(9H-purin-9-yl)-, trans-",100057-61-2,COBLENTZ,PERKIN-ELMER 21 (GRATING),1958/01/22,2,SOLID (1.2 mg / 650 mg KBr DISC),condensed,kbr,TRANSMISSION,1/CM,TRANSMITTANCE,3404,596.989,4011.87,OC1CCCCC1n1cnc2cncnc21,OC1CCCCC1n1cnc2cncnc21,VJLPIPHTBGYWGJ-UHFFFAOYSA-N,C11H14N4O,1,False,C H N O,,False,16,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True
C100058193_0,C100058193,0,data/raw/nist/jdx/C100058193_0.jdx,C100058193_0,C100058193,"9H-Purine, 9-cyclohex-2-enyl-6-hydrazino-",100058-19-3,COBLENTZ,PERKIN-ELMER 21 (GRATING),1957/10/28,2,SOLID (0.6 mg / 650 mg KBr DISC),condensed,kbr,TRANSMISSION,1/CM,TRANSMITTANCE,3397,602.773,4015.0,NNc1ncnc2c1ncn2C1C=CCCC1,NNc1ncnc2c1ncn2C1C=CCCC1,PTKGJBVNKJGCPC-UHFFFAOYSA-N,C11H14N6,1,False,C H N,,False,17,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
C100061_1,C100061,1,data/raw/nist/jdx/C100061_1.jdx,C100061_1,C100061,p-METHOXY ACETOPHENONE,100-06-1,COBLENTZ,"Not specified, most likely a prism, grating, or hybrid spect","Not specified, most likely prior to 1970",4,LIQUID,condensed,liquid,TRANSMISSION,MICROMETERS,TRANSMITTANCE,2093,671.4203225503229,3961.9651347068148,COc1ccc(C(C)=O)cc1,COc1ccc(C(C)=O)cc1,NTPLXRHDUXRPNE-UHFFFAOYSA-N,C9H10O2,1,False,C H O,,False,11,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False
