id,index,status,phase,state_text,bytes
C353559,0,ok,condensed,"SOLUTION (10% CCl4 FOR 5000-1330, 10% CS2 FOR 1330-625 CM^-^1)",19164
C353559,1,end,,,0
C353548,0,ok,condensed,"SOLUTION (10% CCl4 FOR 5000-1330, 10% CS2 FOR 1330-625 CM^-^1)",19191
C353548,1,ok,condensed,"SOLUTION (10% IN CCl4 FOR 3800-1330, AND 10% IN CS2 FOR 1330-460 CM^-^1)",37102
C558134,0,ok,gas,gas,7976
C558134,1,ok,condensed,"SOLUTION (10% CCl4 FOR 3800-1350, 10% CS2 FOR 1350-400 CM^-^1)",32985
C558134,2,ok,condensed,SOLID (KBr DISC),32805
C558134,3,end,,,0
C353548,2,end,,,0
C75627,0,ok,gas,gas,3509
C75627,1,ok,gas,"GAS (30 mmHg, N2 ADDED, TOTAL PRESSURE 600 mmHg)",32272
C75627,2,end,,,0
C471341,0,ok,condensed,SOLID (0.3 mg / 300 mg CsI PELLET),27627
C471341,1,end,,,0
C75718,0,ok,gas,gas,3844
C75718,1,ok,gas,"GAS (100 mmHg, N2 ADDED, TOTAL PRESSURE 600 mmHg)",32354
C75718,2,ok,gas,gas,28957
C75718,3,ok,gas,gas,55715
C75718,4,ok,gas,gas,107688
C75718,5,ok,gas,gas,215950
C75445,0,ok,gas,GAS,19636
C75445,1,ok,gas,"GAS (100 mmHg, N2 ADDED, TOTAL PRESSURE 600 mmHg)",34061
C75445,2,ok,unknown,,597
C75445,3,end,,,0
C2757235,0,ok,gas,gas,13182
C75694,0,ok,gas,gas,3914
C75694,1,ok,gas,"GAS (40 mmHg, N2 ADDED, TOTAL PRESSURE 600 mmHg)",32290
C75694,2,end,,,0
C76062,0,ok,gas,gas,4158
C76062,1,ok,gas,GAS (18 mmHg DILUTED TO A TOTAL PRESSURE OF 600 mmHg WITH N2),34947
C76062,2,ok,condensed,"SOLUTION (10% IN CCl4 FOR 3800-1330, 10% IN CS2 FOR 1330-400 CM^-^1)",34933
C76062,3,end,,,0
C56235,0,ok,gas,gas,3494
C56235,1,ok,gas,GAS (ABOUT 100 mmHg DILUTED WITH NITROGEN),36582
C56235,2,ok,gas,"GAS (100 mmHg, N2 ADDED, TOTAL PRESSURE 600 mmHg)",32185
C56235,3,ok,condensed,SOLUTION (1% CS2),37166
C75729,0,ok,gas,gas,3926
C75729,1,ok,gas,"GAS (50 mmHg, N2 ADDED, TOTAL PRESSURE 600 mmHg)",32270
C75729,2,end,,,0
C353504,0,ok,gas,GAS (200 mmHg DILUTED TO A TOTAL PRESSURE OF 600 mmHg WITH N2),34699
C353504,1,end,,,0
C75730,0,ok,gas,gas,3575
C75730,1,ok,gas,"GAS (100 mmHg, N2 ADDED, TOTAL PRESSURE 600 mmHg)",32262
C9002884,0,ok,condensed,solid,161391
C9002884,1,ok,condensed,solid,161876
C9002884,2,ok,condensed,solid,159349
C9002884,3,end,,,0
C74953,0,ok,gas,gas,4741
C74953,1,ok,gas,"GAS (30 mmHg, N2 ADDED, TOTAL PRESSURE 600 mmHg)",32227
C74953,2,end,,,0
C557686,0,ok,condensed,LIQUID,19235
C557686,1,ok,condensed,SOLUTION (10% IN CCl4 FOR 3800-1333 AND 10% IN CS2 FOR 1333-450 CM^-^1),38135
C557686,2,end,,,0
C563702,0,ok,gas,gas,14335
C563702,1,end,,,0
C75092,0,ok,gas,gas,3751
C593715,0,ok,gas,gas,3684
C593715,1,end,,,0
C75116,0,ok,gas,gas,3740
C75116,1,ok,condensed,LIQUID,18441
C75116,2,ok,condensed,LIQUID (NEAT),33071
C75116,3,end,,,0
C50000,0,ok,gas,GAS (HEATING PARAFORMALDEHYDE; CONCENTRATION UNKNOWN),34489
C50000,1,ok,condensed,SOLUTION (UNKNOWN CONCENTRATION IN CCl4) VS. CCl4,35670
C50000,2,end,,,0
