rule_id,tier,truth_group,wn_min,wn_max,chem_n_pos,chem_sens,chem_spec,chem_LR_pos,chem_LR_pos_boot_lo,chem_LR_pos_boot_hi,chem_LR_neg,chem_LR_pos_position_only,chem_underpowered,nist_n,nist_n_pos,nist_sens,nist_spec,nist_LR_pos,nist_LR_pos_boot_lo,nist_LR_pos_boot_hi,nist_LR_neg,nist_LR_pos_position_only,nist_underpowered,ratio_LR_pos_nist_over_chem
SMITH-BR4-CH3-ASYM,group,methyl,2952.0,2972.0,1069,0.456,0.798,2.25,1.66,3.2,0.68,2.25,False,5124,3136,0.321,0.872,2.5,1.99,2.84,0.78,2.5,False,1.11
SMITH-BR4-CH3-SYM,group,methyl,2862.0,2882.0,1069,0.292,0.896,2.8,1.88,4.27,0.79,2.8,False,5124,3136,0.226,0.869,1.73,1.4,1.95,0.89,1.73,False,0.62
SMITH-BR4-CH2-ASYM,group,methylene,2916.0,2936.0,1007,0.692,0.59,1.69,1.42,1.96,0.52,1.69,False,5124,3017,0.317,0.827,1.83,1.58,2.11,0.83,1.83,False,1.08
SMITH-BR4-CH2-SYM,group,methylene,2845.0,2865.0,1007,0.422,0.797,2.08,1.42,3.44,0.73,2.08,False,5124,3017,0.206,0.897,2.0,1.56,2.58,0.89,2.0,False,0.96
SMITH-BR4-CH3-UMBRELLA,group,methyl,1365.0,1385.0,1069,0.612,0.709,2.1,1.75,2.59,0.55,2.1,False,5124,3136,0.634,0.616,1.65,1.46,1.81,0.6,1.65,False,0.79
SMITH-BR4-CH2-ROCK,group,methylene_chain_4,710.0,730.0,130,0.738,0.45,1.34,1.08,1.59,0.58,1.34,False,5124,632,0.592,0.66,1.74,0.92,2.27,0.62,1.74,False,1.3
SMITH-BR4-BZ-MONO-OOP,group,aromatic_mono,710.0,770.0,344,0.974,0.069,1.05,1.01,1.08,0.38,1.05,False,5124,928,0.934,0.247,1.24,1.15,1.34,0.27,1.24,False,1.18
SMITH-BR4-BZ-MONO-690,group,aromatic_mono,680.0,700.0,344,0.91,0.517,1.88,1.68,2.19,0.17,1.88,False,5109,924,0.894,0.715,3.13,2.58,3.9,0.15,3.13,False,1.66
SMITH-BR4-BZ-ORTHO-OOP,group,aromatic_ortho,735.0,770.0,145,0.255,0.689,0.82,0.47,1.3,1.08,0.82,False,5109,258,0.504,0.698,1.67,1.04,1.93,0.71,1.67,False,2.04
SMITH-BR4-BZ-META-OOP,group,aromatic_meta,750.0,810.0,42,0.976,0.096,1.08,1.05,1.11,0.25,1.08,False,5124,141,0.965,0.253,1.29,1.18,1.46,0.14,1.29,False,1.19
SMITH-BR4-BZ-META-690,group,aromatic_meta,680.0,700.0,42,0.738,0.426,1.29,0.98,1.6,0.61,1.29,False,5109,141,0.667,0.612,1.72,1.36,2.76,0.54,1.72,False,1.33
SMITH-BR4-BZ-PARA-OOP,group,aromatic_para,790.0,860.0,415,0.443,0.627,1.19,0.94,1.47,0.89,1.19,False,5109,645,0.521,0.53,1.11,0.74,1.36,0.9,1.11,False,0.93
SMITH-BZ16-ARCH-STR,class,aromatics,3000.0,3100.0,1438,0.627,0.782,2.88,1.79,5.11,0.48,2.88,False,5124,3387,0.451,0.787,2.12,1.7,2.4,0.7,2.12,False,0.74
SMITH-BZ16-RING,class,aromatics,1400.0,1620.0,1438,1.0,0.0,1.0,1.0,1.01,0.07,1.0,False,5124,3387,0.999,0.02,1.02,1.01,1.02,0.06,1.02,False,1.02
SMITH-BZ16-OOP,class,aromatics,700.0,1000.0,1438,0.999,0.0,1.0,1.0,1.01,0.21,1.0,False,5124,3387,0.999,0.007,1.01,1.0,1.01,0.09,1.01,False,1.01
SMITH-BR5-ROH-OH-STR,group,alcohols,3300.0,3400.0,181,0.343,0.745,1.34,1.03,1.72,0.88,1.34,False,5124,1194,0.343,0.764,1.46,1.2,1.82,0.86,1.46,False,1.09
SMITH-BR5-ROH-OH-WAG,group,alcohols,600.0,700.0,181,0.834,0.157,0.99,0.91,1.08,1.06,0.99,False,1664,391,0.591,0.423,1.02,0.95,1.13,0.97,1.02,False,1.03
SMITH-BR5-ROH-PRIM-CO,group,alcohol_primary,1000.0,1075.0,20,0.95,0.041,0.99,0.9,1.04,1.23,0.99,False,5124,232,0.974,0.145,1.14,1.09,1.21,0.18,1.14,False,1.15
SMITH-BR5-ROH-SEC-CO,group,alcohol_secondary,1075.0,1150.0,47,0.936,0.045,0.98,0.89,1.05,1.42,0.98,False,5124,259,0.965,0.152,1.14,1.06,1.21,0.23,1.14,False,1.16
SMITH-BR5-ROH-TERT-CO,group,alcohol_tertiary,1100.0,1210.0,8,1.0,0.015,0.96,,,3.62,0.96,True,5124,94,1.0,0.067,1.07,1.03,1.11,0.08,1.07,False,1.11
SMITH-BR5-PHENOL-CO,group,phenol,1200.0,1260.0,64,0.891,0.09,0.98,0.86,1.08,1.21,0.98,False,5124,422,0.95,0.217,1.21,1.12,1.3,0.23,1.21,False,1.23
SMITH-BR5-CO-GENERAL,class,c_o_single_any,1000.0,1300.0,486,0.889,0.376,1.42,1.31,1.54,0.3,1.0,False,5124,1623,0.721,0.541,1.57,1.36,1.67,0.52,1.01,False,1.11
SMITH-BR5-ETHER-SAT-CO,group,ether_saturated,1070.0,1140.0,83,0.88,0.047,0.92,0.83,1.03,2.54,0.92,False,5124,242,0.971,0.155,1.15,1.07,1.25,0.19,1.15,False,1.25
SMITH-BR5-ETHER-MIX-CO-AR,group,ether_mixed,1200.0,1300.0,229,0.991,0.015,1.01,0.98,1.02,0.57,1.01,False,5124,346,0.983,0.081,1.07,0.99,1.11,0.22,1.07,False,1.06
SMITH-BR5-ETHER-MIX-CO-SAT,group,ether_mixed,1010.0,1050.0,229,0.939,0.169,1.13,1.04,1.2,0.36,1.13,False,5124,346,0.89,0.311,1.29,1.16,1.46,0.35,1.29,False,1.14
SMITH-BR5-ETHER-ARYL-CO,group,ether_aryl,1200.0,1300.0,13,1.0,0.014,0.98,0.91,1.0,2.42,0.98,False,5124,89,1.0,0.078,1.08,1.04,1.12,0.07,1.08,False,1.1
SMITH-BR6-CO-GENERAL,class,carbonyl_any,1600.0,1900.0,721,0.778,0.804,3.98,2.48,9.16,0.28,1.08,False,5124,2322,0.865,0.79,4.12,3.08,5.99,0.17,1.36,False,1.04
