rule_id,stratum,tier,group,truth_group,wn_min,wn_max,rule_intensity,rule_shape,requires,forbids,prominence,definition,n,n_pos,prevalence,TP,FP,FN,TN,sensitivity,specificity,PPV,NPV,LR_pos,LR_pos_lo,LR_pos_hi,LR_pos_boot_lo,LR_pos_boot_hi,LR_neg,LR_neg_lo,LR_neg_hi,underpowered,fp_enriched_groups
SMITH-BR4-CH3-ASYM,main,group,methyl,methyl,2952.0,2972.0,any,any,,,0.01,position,1539,1069,0.695,563,131,506,339,0.527,0.721,0.811,0.401,1.89,1.62,2.21,,,0.66,0.6,0.71,False,
SMITH-BR4-CH3-ASYM,main,group,methyl,methyl,2952.0,2972.0,any,any,,,0.01,+intensity,1539,1069,0.695,563,131,506,339,0.527,0.721,0.811,0.401,1.89,1.62,2.21,,,0.66,0.6,0.71,False,
SMITH-BR4-CH3-ASYM,main,group,methyl,methyl,2952.0,2972.0,any,any,,,0.01,+shape,1539,1069,0.695,563,131,506,339,0.527,0.721,0.811,0.401,1.89,1.62,2.21,,,0.66,0.6,0.71,False,
SMITH-BR4-CH3-ASYM,main,group,methyl,methyl,2952.0,2972.0,any,any,,,0.02,position,1539,1069,0.695,487,95,582,375,0.456,0.798,0.837,0.392,2.25,1.86,2.73,,,0.68,0.64,0.73,False,
SMITH-BR4-CH3-ASYM,main,group,methyl,methyl,2952.0,2972.0,any,any,,,0.02,+intensity,1539,1069,0.695,487,95,582,375,0.456,0.798,0.837,0.392,2.25,1.86,2.73,,,0.68,0.64,0.73,False,
SMITH-BR4-CH3-ASYM,main,group,methyl,methyl,2952.0,2972.0,any,any,,,0.02,+shape,1539,1069,0.695,487,95,582,375,0.456,0.798,0.837,0.392,2.25,1.86,2.73,1.66,3.2,0.68,0.64,0.73,False,ketone_saturated OR=5.7 (n=3); methylene OR=4.0 (n=78); alkane OR=3.2 (n=80)
SMITH-BR4-CH3-ASYM,main,group,methyl,methyl,2952.0,2972.0,any,any,,,0.05,position,1539,1069,0.695,384,41,685,429,0.359,0.913,0.904,0.385,4.12,3.04,5.58,,,0.7,0.67,0.74,False,
SMITH-BR4-CH3-ASYM,main,group,methyl,methyl,2952.0,2972.0,any,any,,,0.05,+intensity,1539,1069,0.695,384,41,685,429,0.359,0.913,0.904,0.385,4.12,3.04,5.58,,,0.7,0.67,0.74,False,
SMITH-BR4-CH3-ASYM,main,group,methyl,methyl,2952.0,2972.0,any,any,,,0.05,+shape,1539,1069,0.695,384,41,685,429,0.359,0.913,0.904,0.385,4.12,3.04,5.58,,,0.7,0.67,0.74,False,
SMITH-BR4-CH3-ASYM,main,group,methyl,methyl,2952.0,2972.0,any,any,,,0.1,position,1539,1069,0.695,262,17,807,453,0.245,0.964,0.939,0.36,6.78,4.2,10.93,,,0.78,0.75,0.81,False,
SMITH-BR4-CH3-ASYM,main,group,methyl,methyl,2952.0,2972.0,any,any,,,0.1,+intensity,1539,1069,0.695,262,17,807,453,0.245,0.964,0.939,0.36,6.78,4.2,10.93,,,0.78,0.75,0.81,False,
SMITH-BR4-CH3-ASYM,main,group,methyl,methyl,2952.0,2972.0,any,any,,,0.1,+shape,1539,1069,0.695,262,17,807,453,0.245,0.964,0.939,0.36,6.78,4.2,10.93,,,0.78,0.75,0.81,False,
SMITH-BR4-CH3-SYM,main,group,methyl,methyl,2862.0,2882.0,any,any,,,0.01,position,1539,1069,0.695,388,60,681,410,0.363,0.872,0.866,0.376,2.84,2.22,3.65,,,0.73,0.69,0.77,False,
SMITH-BR4-CH3-SYM,main,group,methyl,methyl,2862.0,2882.0,any,any,,,0.01,+intensity,1539,1069,0.695,388,60,681,410,0.363,0.872,0.866,0.376,2.84,2.22,3.65,,,0.73,0.69,0.77,False,
SMITH-BR4-CH3-SYM,main,group,methyl,methyl,2862.0,2882.0,any,any,,,0.01,+shape,1539,1069,0.695,388,60,681,410,0.363,0.872,0.866,0.376,2.84,2.22,3.65,,,0.73,0.69,0.77,False,
SMITH-BR4-CH3-SYM,main,group,methyl,methyl,2862.0,2882.0,any,any,,,0.02,position,1539,1069,0.695,312,49,757,421,0.292,0.896,0.864,0.357,2.8,2.11,3.71,,,0.79,0.75,0.83,False,
SMITH-BR4-CH3-SYM,main,group,methyl,methyl,2862.0,2882.0,any,any,,,0.02,+intensity,1539,1069,0.695,312,49,757,421,0.292,0.896,0.864,0.357,2.8,2.11,3.71,,,0.79,0.75,0.83,False,
SMITH-BR4-CH3-SYM,main,group,methyl,methyl,2862.0,2882.0,any,any,,,0.02,+shape,1539,1069,0.695,312,49,757,421,0.292,0.896,0.864,0.357,2.8,2.11,3.71,1.88,4.27,0.79,0.75,0.83,False,aromatic_meta OR=7.5 (n=4); alcohol_primary OR=5.7 (n=3); alcohol_secondary OR=4.2 (n=3)
SMITH-BR4-CH3-SYM,main,group,methyl,methyl,2862.0,2882.0,any,any,,,0.05,position,1539,1069,0.695,189,30,880,440,0.177,0.936,0.863,0.333,2.77,1.91,4.01,,,0.88,0.85,0.91,False,
SMITH-BR4-CH3-SYM,main,group,methyl,methyl,2862.0,2882.0,any,any,,,0.05,+intensity,1539,1069,0.695,189,30,880,440,0.177,0.936,0.863,0.333,2.77,1.91,4.01,,,0.88,0.85,0.91,False,
SMITH-BR4-CH3-SYM,main,group,methyl,methyl,2862.0,2882.0,any,any,,,0.05,+shape,1539,1069,0.695,189,30,880,440,0.177,0.936,0.863,0.333,2.77,1.91,4.01,,,0.88,0.85,0.91,False,
SMITH-BR4-CH3-SYM,main,group,methyl,methyl,2862.0,2882.0,any,any,,,0.1,position,1539,1069,0.695,79,18,990,452,0.074,0.962,0.814,0.313,1.93,1.17,3.18,,,0.96,0.94,0.99,False,
SMITH-BR4-CH3-SYM,main,group,methyl,methyl,2862.0,2882.0,any,any,,,0.1,+intensity,1539,1069,0.695,79,18,990,452,0.074,0.962,0.814,0.313,1.93,1.17,3.18,,,0.96,0.94,0.99,False,
SMITH-BR4-CH3-SYM,main,group,methyl,methyl,2862.0,2882.0,any,any,,,0.1,+shape,1539,1069,0.695,79,18,990,452,0.074,0.962,0.814,0.313,1.93,1.17,3.18,,,0.96,0.94,0.99,False,
SMITH-BR4-CH2-ASYM,main,group,methylene,methylene,2916.0,2936.0,any,any,,,0.01,position,1539,1007,0.654,755,284,252,248,0.75,0.466,0.727,0.496,1.4,1.29,1.53,,,0.54,0.47,0.62,False,
