rule_id,stratum,tier,group,truth_group,wn_min,wn_max,rule_intensity,rule_shape,requires,forbids,prominence,definition,n,n_pos,prevalence,TP,FP,FN,TN,sensitivity,specificity,PPV,NPV,LR_pos,LR_pos_lo,LR_pos_hi,LR_pos_boot_lo,LR_pos_boot_hi,LR_neg,LR_neg_lo,LR_neg_hi,underpowered,fp_enriched_groups
SMITH-BR4-CH3-ASYM,main,group,methyl,methyl,2952.0,2972.0,any,any,,,0.01,position,5124,3136,0.612,1066,288,2070,1700,0.34,0.855,0.787,0.451,2.35,2.09,2.64,,,0.77,0.75,0.8,False,
SMITH-BR4-CH3-ASYM,main,group,methyl,methyl,2952.0,2972.0,any,any,,,0.01,+intensity,5124,3136,0.612,1066,288,2070,1700,0.34,0.855,0.787,0.451,2.35,2.09,2.64,,,0.77,0.75,0.8,False,
SMITH-BR4-CH3-ASYM,main,group,methyl,methyl,2952.0,2972.0,any,any,,,0.01,+shape,5124,3136,0.612,1066,288,2070,1700,0.34,0.855,0.787,0.451,2.35,2.09,2.64,,,0.77,0.75,0.8,False,
SMITH-BR4-CH3-ASYM,main,group,methyl,methyl,2952.0,2972.0,any,any,,,0.02,position,5124,3136,0.612,1006,255,2130,1733,0.321,0.872,0.798,0.449,2.5,2.21,2.84,,,0.78,0.76,0.8,False,
SMITH-BR4-CH3-ASYM,main,group,methyl,methyl,2952.0,2972.0,any,any,,,0.02,+intensity,5124,3136,0.612,1006,255,2130,1733,0.321,0.872,0.798,0.449,2.5,2.21,2.84,,,0.78,0.76,0.8,False,
SMITH-BR4-CH3-ASYM,main,group,methyl,methyl,2952.0,2972.0,any,any,,,0.02,+shape,5124,3136,0.612,1006,255,2130,1733,0.321,0.872,0.798,0.449,2.5,2.21,2.84,1.99,2.84,0.78,0.76,0.8,False,ketone_saturated OR=3.6 (n=5); alcohol_tertiary OR=3.3 (n=5); methylene OR=3.1 (n=174)
SMITH-BR4-CH3-ASYM,main,group,methyl,methyl,2952.0,2972.0,any,any,,,0.05,position,5124,3136,0.612,904,197,2232,1791,0.288,0.901,0.821,0.445,2.91,2.52,3.36,,,0.79,0.77,0.81,False,
SMITH-BR4-CH3-ASYM,main,group,methyl,methyl,2952.0,2972.0,any,any,,,0.05,+intensity,5124,3136,0.612,904,197,2232,1791,0.288,0.901,0.821,0.445,2.91,2.52,3.36,,,0.79,0.77,0.81,False,
SMITH-BR4-CH3-ASYM,main,group,methyl,methyl,2952.0,2972.0,any,any,,,0.05,+shape,5124,3136,0.612,904,197,2232,1791,0.288,0.901,0.821,0.445,2.91,2.52,3.36,,,0.79,0.77,0.81,False,
SMITH-BR4-CH3-ASYM,main,group,methyl,methyl,2952.0,2972.0,any,any,,,0.1,position,5124,3136,0.612,793,152,2343,1836,0.253,0.924,0.839,0.439,3.31,2.81,3.9,,,0.81,0.79,0.83,False,
SMITH-BR4-CH3-ASYM,main,group,methyl,methyl,2952.0,2972.0,any,any,,,0.1,+intensity,5124,3136,0.612,793,152,2343,1836,0.253,0.924,0.839,0.439,3.31,2.81,3.9,,,0.81,0.79,0.83,False,
SMITH-BR4-CH3-ASYM,main,group,methyl,methyl,2952.0,2972.0,any,any,,,0.1,+shape,5124,3136,0.612,793,152,2343,1836,0.253,0.924,0.839,0.439,3.31,2.81,3.9,,,0.81,0.79,0.83,False,
SMITH-BR4-CH3-SYM,main,group,methyl,methyl,2862.0,2882.0,any,any,,,0.01,position,5124,3136,0.612,807,309,2329,1679,0.257,0.845,0.723,0.419,1.66,1.47,1.86,,,0.88,0.86,0.9,False,
SMITH-BR4-CH3-SYM,main,group,methyl,methyl,2862.0,2882.0,any,any,,,0.01,+intensity,5124,3136,0.612,807,309,2329,1679,0.257,0.845,0.723,0.419,1.66,1.47,1.86,,,0.88,0.86,0.9,False,
SMITH-BR4-CH3-SYM,main,group,methyl,methyl,2862.0,2882.0,any,any,,,0.01,+shape,5124,3136,0.612,807,309,2329,1679,0.257,0.845,0.723,0.419,1.66,1.47,1.86,,,0.88,0.86,0.9,False,
SMITH-BR4-CH3-SYM,main,group,methyl,methyl,2862.0,2882.0,any,any,,,0.02,position,5124,3136,0.612,710,260,2426,1728,0.226,0.869,0.732,0.416,1.73,1.52,1.97,,,0.89,0.87,0.91,False,
