file_id,analysis_id,sample_id,inchikey,smiles_canonical,instrument,x_min,x_max,n_points,resolution,is_multifragment,has_unusual_elements,sampling_procedure,split
0020152b-16a6-4cf2-839e-89638ae8de40,635169,78682,DDQBGZVUDRTHAU-UHFFFAOYSA-M,CCCCc1cn(-c2nc3ccccc3nc2C)nn1.[Br][Re].[C-]#[O+].[C-]#[O+].[C-]#[O+],Bruker Alpha ATR,373.96442,3997.453,2559,4.0,True,True,Diamant-ATR,confirm
00273c3b-65c8-458a-98f5-fb1d63465915,503630,45025,DJGWMTKKMOZBMF-UHFFFAOYSA-N,CCOC(=O)c1ccc(-c2c3nc(c(Br)c4ccc([nH]4)c(-c4ccc(C(=O)OCC)cc4)c4nc(c(Br)c5ccc2[nH]5)C=C4)C=C3)cc1,Bruker ALPHA-T,373.82813,3997.4121,2560,4.0,False,False,Diamant-ATR,confirm
003d88b9-c1d3-4d2e-a679-16f037b683f9,501800,44542,YHZSWQASJCLPOE-UHFFFAOYSA-N,CCCC(=O)SCCCSC(C)CC(=O)CC,Bruker ALPHA,373.96442,3997.453,2559,4.0,False,False,ATR platinum Diamond 1 Refl,confirm
003fa936-4a88-442c-b18b-80dcba45e660,495056,42856,BAIBHOHKSYVVCM-UHFFFAOYSA-N,O=Cc1cc2ccc1CCc1ccc(cc1)CC2,Bruker Alpha,373.96442,3997.453,2559,,False,False,,confirm
0054cec4-e1fb-4c4c-9a8e-2ba86be7ffbf,499156,43881,UYKSYRMKGNNMMU-CZEFNJPISA-L,O=C([O-])/N=N/C(=O)[O-].[K+].[K+],Bruker ALPHA,373.96442,3997.453,2559,4.0,True,True,Diamant-ATR,confirm
008f70a9-b29c-4355-87d9-2da27cf57268,617161,75120,HCVSNXJKNAAQBQ-UHFFFAOYSA-N,CCOC(=O)c1c(N)c(C(=O)OCC)c(N)c(C(=O)OCC)c1N,Finnigan Mat 95,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,confirm
00a0ee9a-ac02-4c9e-96a6-656d069fb80a,594336,68608,COBWACPMXFSUCI-XCYRUZEPSA-N,C1=C/C2=C(\c3ccccc3)c3ccc4[n]3[Cu][n]3/c(cc/c3=C(\c3ccccc3)C3=N/C(=C\4c4ccccc4/C4=c5\cc/c6[n]5[Cu][n]5c(ccc5/C(c5ccccc5/C5=c7\cc/c8[n]7[Cu][n]7c(ccc7/C(c7ccccc7)=C7/C=CC5=N7)/C(c5ccccc5)=C5/C=CC(=N5)\C=8c5ccccc5)=C5/C=CC(=N5)\C=6c5ccccc5)/C(c5ccccc5)=C5/C=CC4=N5)C=C3)=C(/c3ccccc3)C1=N2,FT-IR Bruker IFS 88,373.96442,3997.453,2559,4.0,False,True,Diamant-ATR,confirm
00c77d17-aea8-44f9-bf43-c8927ab53db1,673208,87120,DPNBPQMTXJNKBM-UHFFFAOYSA-N,CCOC(=O)c1sc(-c2ccccn2)nc1OC(=O)c1cccnc1,Jasco FT/IR- 6300,649.8934,4000.6047,3476,,False,False,,dev
00f8af6e-df65-43f9-8357-bf8d72553709,501280,44412,KNMLGVJGGKSKSR-UHFFFAOYSA-N,O=C(Cc1ccccc1)c1cn(Cc2ccc(C(F)(F)F)cc2)c2ccccc12,Bruker ALPHA,373.96442,3997.453,2559,4.0,False,False,ATR platinum Diamond 1 Refl,confirm
00fdf35f-dc8a-4e22-b25d-104335225e6a,491196,42108,KGJVMZAWJCTKCI-UHFFFAOYSA-N,Clc1cc(Cl)cc(SC23CC(C45CC(Sc6cc(Cl)cc(Cl)c6)(C4)C5)(C2)C3)c1,Bruker Alpha ATR,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,confirm
