file_id,analysis_id,sample_id,inchikey,smiles_canonical,instrument,x_min,x_max,n_points,resolution,is_multifragment,has_unusual_elements,sampling_procedure,split,x_min_cm,x_max_cm
C100005_1,C100005_1,C100005,CZGCEKJOLUNIFY-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(Cl)cc1,"Not specified, most likely a prism, grating, or hybrid spect",626.0721485543994,5000.0,2049,4,False,False,TRANSMISSION,confirm,628.0,4000.0
C100027_2,C100027_2,C100027,BTJIUGUIPKRLHP-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(O)cc1,BAIRD (GRATING),626.0,4000.0,3375,2,False,False,,confirm,626.0,4000.0
C1000493_0,C1000493_0,C1000493,LYVYUAHSSSHKHC-UHFFFAOYSA-N,CCCC[Si](C)(C)C,PERKIN-ELMER 521 (GRATING),203.607,3802.91,3868,2,False,False,TRANSMISSION,confirm,400.0,3802.0
C1000506_1,C1000506_1,C1000506,MXOSTENCGSDMRE-UHFFFAOYSA-N,CCCC[Si](C)(C)Cl,PERKIN-ELMER 521 (GRATING),242.0,3820.0,3579,2,False,False,,confirm,400.0,3820.0
C100057612_0,C100057612_0,C100057612,VJLPIPHTBGYWGJ-UHFFFAOYSA-N,OC1CCCCC1n1cnc2cncnc21,PERKIN-ELMER 21 (GRATING),596.989,4011.87,3404,2,False,False,TRANSMISSION,confirm,598.0,4000.0
C100058193_0,C100058193_0,C100058193,PTKGJBVNKJGCPC-UHFFFAOYSA-N,NNc1ncnc2c1ncn2C1C=CCCC1,PERKIN-ELMER 21 (GRATING),602.773,4015.0,3397,2,False,False,TRANSMISSION,confirm,604.0,4000.0
C100061_2,C100061_2,C100061,NTPLXRHDUXRPNE-UHFFFAOYSA-N,COc1ccc(C(C)=O)cc1,DOW KBr FOREPRISM-GRATING,390.0,3800.0,3411,2,False,False,TRANSMISSION,confirm,400.0,3800.0
C100096591_0,C100096591_0,C100096591,JMCPSSGDDONVOA-UHFFFAOYSA-N,CCOC(=O)Nc1ccccc1C(C)(C)C,BECKMAN IR-4 (HYBRID PRISM-GRATING),626.0,4000.0,3375,2,False,False,TRANSMISSION,confirm,626.0,4000.0
C100120216_0,C100120216_0,C100120216,YXRNUAFSOKLXCL-UHFFFAOYSA-N,Cc1cc(Cl)ccc1OCCOC(=O)C(C)(Cl)Cl,"Not specified, most likely a prism, grating, or hybrid spect",629.5524511624686,4835.58994197292,2025,4,False,False,TRANSMISSION,confirm,630.0,4000.0
C100123384_0,C100123384_0,C100123384,VSCXKFCALANVFG-UHFFFAOYSA-N,Cc1cc(Nc2ccc(Br)cc2)n2ncnc2n1,"Not specified, most likely a prism, grating, or hybrid spect",626.7234895963901,4780.114722753346,1971,4,False,False,TRANSMISSION,confirm,628.0,4000.0
C100129_0,C100129_0,C100129,RESTWAHJFMZUIZ-UHFFFAOYSA-N,CCc1ccc([N+](=O)[O-])cc1,"Not specified, most likely a prism, grating, or hybrid spect",629.0890790135883,4995.004995004995,2131,4,False,False,TRANSMISSION,confirm,630.0,4000.0
C100136116_0,C100136116_0,C100136116,RZTWAUXNHFCSKX-UHFFFAOYSA-N,CC(COC(=O)C(Cl)(Cl)CCl)Oc1cc(Cl)c(Cl)cc1Cl,"Not specified, most likely a prism, grating, or hybrid spect",628.6659080764709,4930.966469428008,2128,4,False,False,TRANSMISSION,confirm,630.0,4000.0
C100141308_0,C100141308_0,C100141308,NQEYFCHLAJWJIX-UHFFFAOYSA-N,CC(=O)Nc1ccc(C(C)(C)C)cc1Cl,BECKMAN IR-4 (HYBRID PRISM-GRATING),625.336,3929.29,3375,2,False,False,TRANSMISSION,confirm,626.0,3928.0
C100141_2,C100141_2,C100141,KGCNHWXDPDPSBV-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(CCl)cc1,PERKIN-ELMER 521 (GRATING),378.0,3912.0,3535,2,False,False,,confirm,400.0,3912.0
C100144932_0,C100144932_0,C100144932,OGSXJBSVCOSDQU-UHFFFAOYSA-N,COC(=O)C(O)(C1CC1)C1CC1,PERKIN-ELMER,646.036565669617,4982.561036372696,1968,4,False,False,TRANSMISSION,confirm,648.0,4000.0
C10017115_0,C10017115_0,C10017115,MLGWTHRHHANFCC-UHFFFAOYSA-N,C=CCN.Cl,PERKIN-ELMER 157,667.0,4000.0,3334,2,True,False,TRANSMISSION,confirm,668.0,4000.0
C10017375_0,C10017375_0,C10017375,DLDIDQIZPBIVNQ-UHFFFAOYSA-N,CC(C)(C)N.Cl,PERKIN-ELMER,649.18624504184,4940.711462450593,2189,4,True,False,TRANSMISSION,confirm,650.0,4000.0
C100185_1,C100185_1,C100185,SPPWGCYEYAMHDT-UHFFFAOYSA-N,CC(C)c1ccc(C(C)C)cc1,PERKIN-ELMER,584.555,3938.03,1984,4,False,False,TRANSMISSION,confirm,586.0,3938.0
C100191604_0,C100191604_0,C100191604,IUMJNTAJYBUFGP-UHFFFAOYSA-N,CC(=O)N(c1nnc(Cl)s1)N(C(C)=O)c1nnc(Cl)s1,"Not specified, most likely a prism, grating, or hybrid spect",650.4911207962011,4955.401387512389,2223,4,False,False,TRANSMISSION,confirm,652.0,4000.0
C10020754_0,C10020754_0,C10020754,CLFLNVLCCRFNQV-UHFFFAOYSA-N,C=NN1CCOC1=O,PERKIN-ELMER 621,250.438,4001.76,2857,4,False,False,TRANSMISSION,confirm,400.0,4000.0
C100209_0,C100209_0,C100209,LXEJRKJRKIFVNY-UHFFFAOYSA-N,O=C(Cl)c1ccc(C(=O)Cl)cc1,"Not specified, most likely a prism, grating, or hybrid spect",629.0455491882167,4933.399111988159,2027,4,False,False,TRANSMISSION,confirm,630.0,4000.0
