group,smarts,source
alkane,"[CX4;H0,H1,H2,H4]","Punjabi et al. 2025, adapted from Fine et al. 2020"
methyl,[CH3],"Punjabi et al. 2025, adapted from Fine et al. 2020"
alkene,[CX3]=[CX3],"Punjabi et al. 2025, adapted from Fine et al. 2020"
alkyne,[CX2]#C,"Punjabi et al. 2025, adapted from Fine et al. 2020"
alcohols,[#6][OX2H],"Punjabi et al. 2025, adapted from Fine et al. 2020"
amines,"[NX3;H2,H1;!$(NC=O)]","Punjabi et al. 2025, adapted from Fine et al. 2020"
nitriles,[NX1]#[CX2],"Punjabi et al. 2025, adapted from Fine et al. 2020"
aromatics,"[$([cX3](:*):*),$([cX2+](:*):*)]","Punjabi et al. 2025, adapted from Fine et al. 2020"
alkyl_halides,"[#6][F,Cl,Br,I]","Punjabi et al. 2025, adapted from Fine et al. 2020"
esters,[#6][CX3](=O)[OX2H0][#6],"Punjabi et al. 2025, adapted from Fine et al. 2020"
ketones,[#6][CX3](=O)[#6],"Punjabi et al. 2025, adapted from Fine et al. 2020"
aldehydes,[CX3H1](=O)[#6],"Punjabi et al. 2025, adapted from Fine et al. 2020"
carboxylic_acids,[CX3](=O)[OX2H1],"Punjabi et al. 2025, adapted from Fine et al. 2020"
ether,[OD2]([#6;!$(C=O)])([#6;!$(C=O)]),"Punjabi et al. 2025, adapted from Fine et al. 2020"
acyl_halides,"[CX3](=[OX1])[F,Cl,Br,I]","Punjabi et al. 2025, adapted from Fine et al. 2020"
amides,[NX3][CX3](=[OX1])[#6],"Punjabi et al. 2025, adapted from Fine et al. 2020"
nitro,"[$([NX3](=O)=O),$([NX3+](=O)[O-])][!#8]","Punjabi et al. 2025, adapted from Fine et al. 2020"
aromatic_mono,[cH;R1]1[cH;R1][cH;R1][cH;R1][cH;R1][c;R1]1[!#1],Mol Insight
aromatic_ortho,[cH;R1]1[cH;R1][cH;R1][cH;R1][c;R1]([!#1])[c;R1]1[!#1],Mol Insight
aromatic_meta,[cH;R1]1[cH;R1][cH;R1][c;R1]([!#1])[cH;R1][c;R1]1[!#1],Mol Insight
aromatic_para,[cH;R1]1[cH;R1][c;R1]([!#1])[cH;R1][cH;R1][c;R1]1[!#1],Mol Insight
methylene,[CH2X4],this work (adopted 2026-09-14; see docs/decisions_freeze.md)
methylene_chain_4,[CH2X4][CH2X4][CH2X4][CH2X4],this work (adopted 2026-09-14; see docs/decisions_freeze.md)
alcohol_primary,[CH2X4][OX2H],this work (adopted 2026-09-14; see docs/decisions_freeze.md)
alcohol_secondary,[CHX4]([#6])([#6])[OX2H],this work (adopted 2026-09-14; see docs/decisions_freeze.md)
alcohol_tertiary,[CX4]([#6])([#6])([#6])[OX2H],this work (adopted 2026-09-14; see docs/decisions_freeze.md)
phenol,c[OX2H],this work (adopted 2026-09-14; see docs/decisions_freeze.md)
ether_saturated,[CX4][OX2][CX4],this work (adopted 2026-09-14; see docs/decisions_freeze.md)
ether_mixed,[CX4][OX2]c,this work (adopted 2026-09-14; see docs/decisions_freeze.md)
ether_aryl,c[OX2]c,this work (adopted 2026-09-14; see docs/decisions_freeze.md)
carbonate_organic,[#6][OX2][CX3](=O)[OX2][#6],this work (adopted 2026-09-14; see docs/decisions_freeze.md)
ketone_saturated,[CX4][CX3](=O)[CX4],this work (adopted 2026-09-14; see docs/decisions_freeze.md)
ketone_aromatic,[#6][CX3](=O)c,this work (adopted 2026-09-14; see docs/decisions_freeze.md)
aldehyde_saturated,[CX3H1](=O)[CX4],this work (adopted 2026-09-14; see docs/decisions_freeze.md)
aldehyde_aromatic,[CX3H1](=O)c,this work (adopted 2026-09-14; see docs/decisions_freeze.md)
carboxylic_acid_saturated,[CX4][CX3](=O)[OX2H1],this work (adopted 2026-09-14; see docs/decisions_freeze.md)
carboxylic_acid_aromatic,c[CX3](=O)[OX2H1],this work (adopted 2026-09-14; see docs/decisions_freeze.md)
ester_saturated,[CX4][CX3](=O)[OX2H0][#6],this work (adopted 2026-09-14; see docs/decisions_freeze.md)
ester_aromatic,c[CX3](=O)[OX2H0][#6],this work (adopted 2026-09-14; see docs/decisions_freeze.md)
amide_primary,[NX3H2][CX3](=[OX1])[#6],this work (adopted 2026-09-14; see docs/decisions_freeze.md)
amide_secondary,[NX3H1]([#6])[CX3](=[OX1])[#6],this work (adopted 2026-09-14; see docs/decisions_freeze.md)
amine_primary,[NX3H2;!$(NC=O);!$(N[!#6;!#1])][#6],this work (adopted 2026-09-14; see docs/decisions_freeze.md)
amine_primary_saturated,[NX3H2;!$(NC=O);!$(N[!#6;!#1])][CX4],this work (adopted 2026-09-14; see docs/decisions_freeze.md)
amine_primary_aromatic,[NX3H2;!$(NC=O);!$(N[!#6;!#1])]c,this work (adopted 2026-09-14; see docs/decisions_freeze.md)
amine_secondary,[NX3H1;!$(NC=O);!$(N[!#6;!#1])]([#6])[#6],this work (adopted 2026-09-14; see docs/decisions_freeze.md)
amine_secondary_saturated,[NX3H1;!$(NC=O);!$(N[!#6;!#1])]([CX4])[CX4],this work (adopted 2026-09-14; see docs/decisions_freeze.md)
amine_secondary_aromatic,[NX3H1;!$(NC=O);!$(N[!#6;!#1])](c)[#6],this work (adopted 2026-09-14; see docs/decisions_freeze.md)
alkene_vinyl,[CH2X3]=[CHX3][#6],this work (adopted 2026-09-14; see docs/decisions_freeze.md)
alkene_disubstituted,[CHX3]([#6])=[CHX3][#6],this work (adopted 2026-09-14; see docs/decisions_freeze.md)
alkene_trisubstituted,[CHX3]([#6])=[CX3]([#6])[#6],this work (adopted 2026-09-14; see docs/decisions_freeze.md)
alkyne_terminal,[CH1X2]#[CX2],this work (adopted 2026-09-14; see docs/decisions_freeze.md)
alkyne_internal,[#6][CX2]#[CX2][#6],this work (adopted 2026-09-14; see docs/decisions_freeze.md)
nitrile_saturated,[NX1]#[CX2][CX4],this work (adopted 2026-09-14; see docs/decisions_freeze.md)
nitrile_aromatic,[NX1]#[CX2]c,this work (adopted 2026-09-14; see docs/decisions_freeze.md)
ammonium_primary,[NX4H3+],this work (adopted 2026-09-14; see docs/decisions_freeze.md)
ammonium_secondary,[NX4H2+],this work (adopted 2026-09-14; see docs/decisions_freeze.md)
ammonium_tertiary,[NX4H1+],this work (adopted 2026-09-14; see docs/decisions_freeze.md)
carbonyl_any,[CX3]=[OX1],this work (adopted 2026-09-14; see docs/decisions_freeze.md)
c_o_single_any,"[#6][OX2;!$(O[CX3]=O)]",this work (adopted 2026-09-14; see docs/decisions_freeze.md)
n_h_any,"[NX3;H1,H2;!$(N[!#6;!#1])]",this work (adopted 2026-09-14; see docs/decisions_freeze.md)
