group,smarts,rationale,n_main_stratum,status
methylene,[CH2X4],"CH2, sp3, any neighbours",1245,"proposed, not adopted"
methylene_chain_4,[CH2X4][CH2X4][CH2X4][CH2X4],four sp3 CH2 in a row,162,"proposed, not adopted"
alcohol_primary,[CH2X4][OX2H],OH on a CH2,24,"proposed, not adopted"
alcohol_secondary,[CHX4]([#6])([#6])[OX2H],OH on a CH with two carbons,66,"proposed, not adopted"
alcohol_tertiary,[CX4]([#6])([#6])([#6])[OX2H],OH on a carbon with three carbons,9,"proposed, not adopted"
phenol,c[OX2H],OH on an aromatic carbon,78,"proposed, not adopted"
alcohol_aliphatic,[CX4][OX2H],OH on sp3 carbon (complement of phenol),95,"proposed, not adopted"
ether_saturated,[CX4][OX2][CX4],both ether carbons sp3; excludes esters via [OX2] between sp3 carbons,109,"proposed, not adopted"
ether_mixed,[CX4][OX2]c,one sp3 and one aromatic ether carbon,291,"proposed, not adopted"
ether_aryl,c[OX2]c,both ether carbons aromatic,15,"proposed, not adopted"
carbonate_organic,[#6][OX2][CX3](=O)[OX2][#6],O-C(=O)-O with carbons on both sides,2,"proposed, not adopted"
amide_primary,[NX3H2][CX3](=[OX1])[#6],C(=O)NH2,6,"proposed, not adopted"
amide_secondary,[NX3H1]([#6])[CX3](=[OX1])[#6],C(=O)NH-C,182,"proposed, not adopted"
amide_tertiary,[NX3H0]([#6])([#6])[CX3](=[OX1])[#6],C(=O)N(C)C,85,"proposed, not adopted"
amine_primary,[NX3H2;!$(NC=O);!$(N-[!#6;!#1])][#6],"NH2 on carbon, not amide, not N-N/N-O",94,"proposed, not adopted"
amine_primary_saturated,[NX3H2;!$(NC=O)][CX4],NH2 on sp3 carbon,15,"proposed, not adopted"
amine_primary_aromatic,[NX3H2;!$(NC=O)]c,NH2 on aromatic carbon (anilines),76,"proposed, not adopted"
amine_secondary,[NX3H1;!$(NC=O);!$(N-[!#6;!#1])]([#6])[#6],"NH with two carbons, not amide",112,"proposed, not adopted"
amine_secondary_saturated,[NX3H1;!$(NC=O)]([CX4])[CX4],NH with two sp3 carbons,29,"proposed, not adopted"
amine_secondary_aromatic,[NX3H1;!$(NC=O)](c)[#6],NH with at least one aromatic carbon,80,"proposed, not adopted"
alkene_vinyl,[CH2X3]=[CHX3][#6],CH2=CH-R,47,"proposed, not adopted"
alkene_vinylidene,[CH2X3]=[CX3]([#6])[#6],CH2=CR2,2,"proposed, not adopted"
alkene_disubstituted,[CHX3]([#6])=[CHX3][#6],"RCH=CHR, cis or trans (stereo needs the SMILES to carry it)",134,"proposed, not adopted"
alkene_trans,[#6]/[CHX3]=[CHX3]/[#6],trans RCH=CHR (requires stereo in SMILES),134,"proposed, not adopted"
alkene_cis,[#6]/[CHX3]=[CHX3]\[#6],cis RCH=CHR (requires stereo in SMILES),134,"proposed, not adopted"
alkene_trisubstituted,[CHX3]([#6])=[CX3]([#6])[#6],RCH=CR2,53,"proposed, not adopted"
alkyne_terminal,[CH1X2]#[CX2],C#C-H,33,"proposed, not adopted"
alkyne_internal,[#6][CX2]#[CX2][#6],R-C#C-R,97,"proposed, not adopted"
nitrile_aromatic,[NX1]#[CX2]c,C#N on aromatic carbon,93,"proposed, not adopted"
nitrile_saturated,[NX1]#[CX2][CX4],C#N on sp3 carbon,5,"proposed, not adopted"
ketone_aromatic,[#6][CX3](=O)c,ketone with an aromatic alpha carbon,188,"proposed, not adopted"
ester_aromatic,c[CX3](=O)[OX2H0][#6],ester with aromatic alpha carbon,156,"proposed, not adopted"
acid_aromatic,c[CX3](=O)[OX2H1],acid with aromatic alpha carbon,32,"proposed, not adopted"
aldehyde_aromatic,[CX3H1](=O)c,aldehyde on aromatic carbon,83,"proposed, not adopted"
ammonium_primary,[NX4H3+],protonated primary amine (salt stratum),0,"proposed, not adopted"
ammonium_secondary,[NX4H2+],protonated secondary amine (salt stratum),0,"proposed, not adopted"
ammonium_tertiary,[NX4H1+],protonated tertiary amine (salt stratum),0,"proposed, not adopted"
