rule_id,group,description,wn_min,wn_max,intensity,shape,condition_notes,truth_smarts_group,source_book,edition,table,page,frozen,source_quote
SMITH-BR4-CH3-ASYM,methyl,Asymmetric C-H stretch of the methyl group,2952,2972,any,any,,methyl,"Smith, Spectroscopy, IR Spectral Interpretation Workshop","The Big Review IV: Hydrocarbons, 2025, 40(1)",Table I,16-19,no,"methyl asymmetric C-H stretch 2962 plus or minus 10"
SMITH-BR4-CH3-SYM,methyl,Symmetric C-H stretch of the methyl group,2862,2882,any,any,,methyl,"Smith, Spectroscopy, IR Spectral Interpretation Workshop","The Big Review IV: Hydrocarbons, 2025, 40(1)",Table I,16-19,no,"methyl symmetric C-H stretch 2872 plus or minus 10"
SMITH-BR4-CH2-ASYM,methylene,Asymmetric C-H stretch of the methylene group,2916,2936,any,any,"No SMARTS for methylene exists yet in functional_groups_smarts.csv; see groups_missing.md",,"Smith, Spectroscopy, IR Spectral Interpretation Workshop","The Big Review IV: Hydrocarbons, 2025, 40(1)",Table I,16-19,no,"methylene asymmetric C-H stretch 2926 plus or minus 10"
SMITH-BR4-CH2-SYM,methylene,Symmetric C-H stretch of the methylene group,2845,2865,any,any,"No SMARTS for methylene exists yet in functional_groups_smarts.csv; see groups_missing.md",,"Smith, Spectroscopy, IR Spectral Interpretation Workshop","The Big Review IV: Hydrocarbons, 2025, 40(1)",Table I,16-19,no,"methylene symmetric C-H stretch 2855 plus or minus 10"
SMITH-BR4-BZ-MONO-OOP,monosubstituted benzene,Out-of-plane C-H bending band of a monosubstituted benzene ring,710,770,any,any,"Accompanied by a band at 690 plus or minus 10, transcribed as SMITH-BR4-BZ-MONO-690",aromatic_mono,"Smith, Spectroscopy, IR Spectral Interpretation Workshop","The Big Review IV: Hydrocarbons, 2025, 40(1)",Table III,16-19,"no","mono 770-710 with a peak at 690 plus or minus 10 present"
SMITH-BR4-BZ-MONO-690,monosubstituted benzene,Ring bending band at 690 present for a monosubstituted benzene ring,680,700,any,any,"Second half of the monosubstitution rule; must co-occur with SMITH-BR4-BZ-MONO-OOP",aromatic_mono,"Smith, Spectroscopy, IR Spectral Interpretation Workshop","The Big Review IV: Hydrocarbons, 2025, 40(1)",Table III,16-19,no,"mono 770-710 with a peak at 690 plus or minus 10 present"
SMITH-BR4-BZ-ORTHO-OOP,ortho-disubstituted benzene,Out-of-plane C-H bending band of an ortho-disubstituted benzene ring,735,770,any,any,"The rule requires the absence of a band near 690",aromatic_ortho,"Smith, Spectroscopy, IR Spectral Interpretation Workshop","The Big Review IV: Hydrocarbons, 2025, 40(1)",Table III,16-19,no,"ortho 770-735 with no 690"
SMITH-BR4-BZ-META-OOP,meta-disubstituted benzene,Out-of-plane C-H bending band of a meta-disubstituted benzene ring,750,810,any,any,"Accompanied by a band at 690, transcribed as SMITH-BR4-BZ-META-690",aromatic_meta,"Smith, Spectroscopy, IR Spectral Interpretation Workshop","The Big Review IV: Hydrocarbons, 2025, 40(1)",Table III,16-19,no,"meta 810-750 with 690"
SMITH-BR4-BZ-META-690,meta-disubstituted benzene,Ring bending band at 690 present for a meta-disubstituted benzene ring,680,700,any,any,"Second half of the meta rule; must co-occur with SMITH-BR4-BZ-META-OOP. The source gives 690 without a tolerance here; the window is taken as 690 plus or minus 10 by analogy with the monosubstituted entry and needs confirmation",aromatic_meta,"Smith, Spectroscopy, IR Spectral Interpretation Workshop","The Big Review IV: Hydrocarbons, 2025, 40(1)",Table III,16-19,no,"meta 810-750 with 690"
SMITH-BR4-BZ-PARA-OOP,para-disubstituted benzene,Out-of-plane C-H bending band of a para-disubstituted benzene ring,790,860,any,any,"The rule requires the absence of a band near 690",aromatic_para,"Smith, Spectroscopy, IR Spectral Interpretation Workshop","The Big Review IV: Hydrocarbons, 2025, 40(1)",Table III,16-19,no,"para 860-790 with no 690"
SMITH-BR5-ROH-PRIM-CO,primary alcohol,C-O stretch of a primary alcohol,1000,1075,any,any,"No SMARTS for primary alcohols exists yet in functional_groups_smarts.csv; see groups_missing.md. Nearest available group: alcohols",,"Smith, Spectroscopy, IR Spectral Interpretation Workshop","The Big Review V: The C-O Bond, 2025, 40(3)",,10-13,no,"primary alcohol C-O 1075-1000"
SMITH-BR5-ROH-SEC-CO,secondary alcohol,C-O stretch of a secondary alcohol,1075,1150,any,any,"No SMARTS for secondary alcohols exists yet in functional_groups_smarts.csv; see groups_missing.md. Nearest available group: alcohols",,"Smith, Spectroscopy, IR Spectral Interpretation Workshop","The Big Review V: The C-O Bond, 2025, 40(3)",,10-13,no,"secondary alcohol C-O 1150-1075"
SMITH-BR5-ROH-TERT-CO,tertiary alcohol,C-O stretch of a tertiary alcohol,1100,1210,any,any,"No SMARTS for tertiary alcohols exists yet in functional_groups_smarts.csv; see groups_missing.md. Nearest available group: alcohols",,"Smith, Spectroscopy, IR Spectral Interpretation Workshop","The Big Review V: The C-O Bond, 2025, 40(3)",,10-13,no,"tertiary alcohol C-O 1210-1100"
SMITH-BR5-AROH-CO,aromatic alcohol,C-O stretch of an aromatic alcohol,1200,1260,any,any,"No SMARTS for aromatic alcohols or phenols exists yet in functional_groups_smarts.csv; see groups_missing.md. Nearest available group: alcohols",,"Smith, Spectroscopy, IR Spectral Interpretation Workshop","The Big Review V: The C-O Bond, 2025, 40(3)",,10-13,no,"aromatic alcohol C-O 1260-1200"
SMITH-BR5-ETHER-SAT-CO,saturated ether,C-O stretch of a saturated ether,1070,1140,any,any,"Applies to saturated ethers only; the truth group ether does not distinguish saturated from unsaturated",ether,"Smith, Spectroscopy, IR Spectral Interpretation Workshop","The Big Review V: The C-O Bond, 2025, 40(3)",,10-13,no,"saturated ether 1140-1070"
SMITH-BR7-EST-SAT-CO,saturated ester,C=O stretch of a saturated ester,1735,1755,strong,any,"Applies to saturated esters only; the truth group esters does not distinguish saturated from aromatic",esters,"Smith, Spectroscopy, IR Spectral Interpretation Workshop","The Big Review VII: More Carbonyl Compounds, 2025",Tables I and II,,no,"saturated ester C=O 1755-1735 strong"
SMITH-BR7-EST-SAT-CCO,saturated ester,C-C-O stretch of a saturated ester,1160,1210,strong,any,"Applies to saturated esters only; the truth group esters does not distinguish saturated from aromatic",esters,"Smith, Spectroscopy, IR Spectral Interpretation Workshop","The Big Review VII: More Carbonyl Compounds, 2025",Tables I and II,,no,"saturated ester C-C-O 1210-1160 strong"
SMITH-BR7-EST-SAT-OCC,saturated ester,O-C-C stretch of a saturated ester,1030,1100,strong,any,"Applies to saturated esters only; the truth group esters does not distinguish saturated from aromatic",esters,"Smith, Spectroscopy, IR Spectral Interpretation Workshop","The Big Review VII: More Carbonyl Compounds, 2025",Tables I and II,,no,"saturated ester O-C-C 1100-1030 strong"
SMITH-BR7-EST-AR-CO,aromatic ester,C=O stretch of an aromatic ester,1715,1730,any,any,"Applies to aromatic esters only; the truth group esters does not distinguish saturated from aromatic. The source gives no intensity for this row",esters,"Smith, Spectroscopy, IR Spectral Interpretation Workshop","The Big Review VII: More Carbonyl Compounds, 2025",Tables I and II,,no,"aromatic ester C=O 1730-1715"
SMITH-BR7-EST-AR-CCO,aromatic ester,C-C-O stretch of an aromatic ester,1250,1310,any,any,"Applies to aromatic esters only; the truth group esters does not distinguish saturated from aromatic. The source gives no intensity for this row",esters,"Smith, Spectroscopy, IR Spectral Interpretation Workshop","The Big Review VII: More Carbonyl Compounds, 2025",Tables I and II,,no,"aromatic ester C-C-O 1310-1250"
SMITH-BR7-EST-AR-OCC,aromatic ester,O-C-C stretch of an aromatic ester,1100,1130,any,any,"Applies to aromatic esters only; the truth group esters does not distinguish saturated from aromatic. The source gives no intensity for this row",esters,"Smith, Spectroscopy, IR Spectral Interpretation Workshop","The Big Review VII: More Carbonyl Compounds, 2025",Tables I and II,,no,"aromatic ester O-C-C 1130-1100"
