rule_id,group,description,wn_min,wn_max,intensity,shape,condition_notes,truth_smarts_group,source_book,edition,table,page,frozen,source_quote,requires_wn_min,requires_wn_max,forbids_wn_min,forbids_wn_max,stratum,tier
SMITH-BR4-CH3-ASYM,methyl,Asymmetric C-H stretch of the methyl group,2952.0,2972.0,any,any,,methyl,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review IV: Hydrocarbons, 2025, 40(1), DOI 10.56530/spectroscopy.vt7783b7",Table I,16-19,yes,CH3 Asymmetric 2962+-10,,,,,main,group
SMITH-BR4-CH3-SYM,methyl,Symmetric C-H stretch of the methyl group,2862.0,2882.0,any,any,,methyl,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review IV: Hydrocarbons, 2025, 40(1), DOI 10.56530/spectroscopy.vt7783b7",Table I,16-19,yes,CH3 Symmetric 2872+-10,,,,,main,group
SMITH-BR4-CH2-ASYM,methylene,Asymmetric C-H stretch of the methylene group,2916.0,2936.0,any,any,Needs a methylene truth group; see groups_missing.md,methylene,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review IV: Hydrocarbons, 2025, 40(1), DOI 10.56530/spectroscopy.vt7783b7",Table I,16-19,yes,CH2 Asymmetric 2926+-10,,,,,main,group
SMITH-BR4-CH2-SYM,methylene,Symmetric C-H stretch of the methylene group,2845.0,2865.0,any,any,Needs a methylene truth group; see groups_missing.md,methylene,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review IV: Hydrocarbons, 2025, 40(1), DOI 10.56530/spectroscopy.vt7783b7",Table I,16-19,yes,CH2 Symmetric 2855+-10,,,,,main,group
SMITH-BR4-CH3-UMBRELLA,methyl,Symmetric bend (umbrella mode) of the methyl group,1365.0,1385.0,any,any,"Value stated in the article text, not in a numbered table",methyl,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review IV: Hydrocarbons, 2025, 40(1), DOI 10.56530/spectroscopy.vt7783b7",,16-19,yes,"This peak typically falls at 1375+-10, and is rarely seen outside this range.",,,,,main,group
SMITH-BR4-CH2-ROCK,methylene,Rocking vibration of the methylene group,710.0,730.0,any,any,"Value stated in the article text, not in a numbered table. Only appears with four or more CH2 in a row; needs a truth group for (CH2)n>=4",methylene_chain_4,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review IV: Hydrocarbons, 2025, 40(1), DOI 10.56530/spectroscopy.vt7783b7",,16-19,yes,This peak falls at 720+-10 ... The CH2 rock only appears in a spectrum if there are four or more methylenes in a row.,,,,,main,group
SMITH-BR4-BZ-MONO-OOP,monosubstituted benzene,Out-of-plane C-H bending of a monosubstituted benzene ring,710.0,770.0,any,any,Co-occurs with the ring bend at 690+-10 (SMITH-BR4-BZ-MONO-690),aromatic_mono,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review IV: Hydrocarbons, 2025, 40(1), DOI 10.56530/spectroscopy.vt7783b7",Table III,16-19,yes,Mono | Out-of-Plane C-H Bending 770-710 | Ring Bend (690 +- 10 cm-1) Yes,,,,,main,group
SMITH-BR4-BZ-MONO-690,monosubstituted benzene,Ring bend at 690 present for a monosubstituted benzene ring,680.0,700.0,any,any,Second half of the mono rule,aromatic_mono,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review IV: Hydrocarbons, 2025, 40(1), DOI 10.56530/spectroscopy.vt7783b7",Table III,16-19,yes,Mono | Ring Bend (690 +- 10 cm-1) Yes,,,,,main,group
SMITH-BR4-BZ-ORTHO-OOP,ortho-disubstituted benzene,Out-of-plane C-H bending of an ortho-disubstituted benzene ring,735.0,770.0,any,any,Rule also requires ABSENCE of the ring bend at 690+-10,aromatic_ortho,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review IV: Hydrocarbons, 2025, 40(1), DOI 10.56530/spectroscopy.vt7783b7",Table III,16-19,yes,Ortho | 770-735 | Ring Bend No,,,680.0,700.0,main,group
SMITH-BR4-BZ-META-OOP,meta-disubstituted benzene,Out-of-plane C-H bending of a meta-disubstituted benzene ring,750.0,810.0,any,any,Co-occurs with the ring bend at 690+-10 (SMITH-BR4-BZ-META-690),aromatic_meta,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review IV: Hydrocarbons, 2025, 40(1), DOI 10.56530/spectroscopy.vt7783b7",Table III,16-19,yes,Meta | 810-750 | Ring Bend Yes,,,,,main,group
